Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order	All_hour_NES	hour0_NES	hour3_NES	hour6_NES	hour12_NES	hour24_NES	sig_hours
hour_0	D007951	Leukemia, Myeloid	12	0.864909542512815	2.11041421584323	0.000220604456210015	0.00434066756473582	0.00279661884842326	821	tags=58%, list=8%, signal=54%	Ubx/abd-A/tsh/lab/Abd-B/hth/dpp	7	0.583333333333333	2	0	2.11041421584323	0	0	0	0	6
hour_0	D053447	Channelopathies	13	0.821436303419395	2.04185756583944	0.000224064530584808	0.00434066756473582	0.00279661884842326	1553	tags=92%, list=15%, signal=78%	Shab/eag/trp/slo/para/Shaw/KCNQ/Sh/Shawl/sei/Top1/Elk	12	0.923076923076923	2	0	2.04185756583944	0	0	0	0	6
hour_0	D020964	Embryo Loss	37	0.721961243183052	2.30660770831876	0.00024919013207077	0.00434066756473582	0.00279661884842326	1373	tags=51%, list=14%, signal=45%	svp/Ubx/abd-A/gt/tsh/pros/Abd-B/Ptx1/zen/CG13928/elav/sim/CG8249/hth/ftz-f1/prd/odd/tmod/inaD	19	0.513513513513513	2	0	2.30660770831876	0	0	0	0	6
hour_0	D015431	Weight Loss	38	0.600000678555012	1.92938387024043	0.000249438762783737	0.00434066756473582	0.00279661884842326	1577	tags=39%, list=16%, signal=33%	Appl/ATPsynbeta/w/S6k/mino/CG9485/ATPCL/GlyP/mdy/PCB/Tm1/shf/FASN1/puc/UGP	15	0.394736842105263	2	0	1.92938387024043	0	0	0	0	6
hour_0	D019337	Hematologic Neoplasms	45	0.604039001928771	2.01902872697566	0.000255297421496043	0.00434066756473582	0.00279661884842326	1883	tags=44%, list=19%, signal=36%	CG3829/pxb/tsh/Idgf1/brk/Wnt4/mfas/Myc/net/hth/dpp/Stat92E/w/ex/mthl3/Socs36E/kibra/hop/ed/sd	20	0.444444444444444	2	0	2.01902872697566	0	0	0	0	6
hour_0	D004065	Digestive System Abnormalities	44	0.638207838456302	2.12477092206676	0.000255427841634738	0.00434066756473582	0.00279661884842326	2129	tags=50%, list=21%, signal=40%	Ubx/abd-A/dpr11/lab/Abd-B/dve/fkh/nub/dpp/Rfx/w/ry/bi/odd/hid/Rho1/arm/byn/Rm62/Patj/Su(Tpl)/Myo31DF	22	0.5	2	0	2.12477092206676	0	0	0	0	6
hour_0	D005770	Gastrointestinal Neoplasms	44	0.56851274943834	1.89273663851046	0.000255427841634738	0.00434066756473582	0.00279661884842326	3119	tags=68%, list=31%, signal=47%	esg/vn/spdo/pros/Rab3/Mmp1/nub/mew/Stat92E/ex/hid/Socs36E/arm/puc/Egfr/Itgbn/Su(H)/neur/upd3/mys/Mkp3/wts/Krn/scb/upd1/dlg1/Dl/aos/stg/yki	30	0.681818181818182	2	0	1.89273663851046	0	0	0	0	6
hour_0	D001766	Blindness	48	0.622230341246348	2.10499953618866	0.000259000259000259	0.00434066756473582	0.00279661884842326	1845	tags=48%, list=18%, signal=39%	chp/trpl/ninaC/trp/rdgC/Dif/fkh/Galphaq/Atpalpha/Smox/Arr2/ninaE/nrv3/Lmpt/inaD/Rbf/eya/nrv2/tim/Ets96B/per/hdc/salm	23	0.479166666666667	2	0	2.10499953618866	0	0	0	0	6
hour_0	D006948	Hyperkinesis	56	0.583388855753816	2.03294751194352	0.00026581605528974	0.00434066756473582	0.00279661884842326	1889	tags=52%, list=19%, signal=42%	nAChRalpha6/nAChRbeta1/cv-2/nAChRalpha7/eag/slo/Hk/nAChRalpha1/mAChR-A/l(2)01289/Sh/DCP2/Tbh/Nrx-IV/hppy/w/Dcr-2/Fas2/brp/Tk/Gli/path/RhoGAP18B/sei/NaCP60E/drd/nAChRalpha4/dbo/par-1	29	0.517857142857143	2	0	2.03294751194352	0	0	0	0	6
hour_0	D000435	Alcoholic Intoxication	58	0.632574674576623	2.22354342476528	0.000266169816342827	0.00434066756473582	0.00279661884842326	1890	tags=55%, list=19%, signal=45%	nAChRalpha6/nAChRbeta1/Clk/cac/cv-2/Syn/nAChRalpha3/nAChRalpha7/Ace/nAChRalpha1/fru/nAChRalpha5/dnc/l(2)01289/Tbh/hppy/ChAT/InR/Fas2/brp/ple/path/Pka-C1/chico/Syt4/RhoGAP18B/Sirt1/tim/Pka-R2/per/nAChRalpha4/rut	32	0.551724137931034	2	0	2.22354342476528	0	0	0	0	6
